id,name,vehicle_class_id,is_tractor_with_trailer
1,Седельный тягач - Европа,1,False
2,Седельный тягач - Америка,1,False
3,Тягач + ППЦ (тент; реф) - 13м,2,True
4,Тягач + ППЦ (тент; реф) - 16м,2,True
5,Тягач + ППЦ (контейнеровоз),2,True
6,Тягач + ППЦ (площадка),2,True
7,Тягач + ППЦ (автовоз),2,True
8,Тягач + ППЦ (трал),2,True
9,Тягач + ППЦ (панелевоз),2,True
10,Грузовик + ПРИЦЕП,2,True
11,"2-х, 3-х осные (МАЗ;  КАМАЗ)",3,False
12,"3-х, 4-х осные (ШАХМАН;  ХОВО)",3,False
13,Тягач + ППЦ (3-х осные),3,True
14,Тягач + ППЦ (4-х осные),3,True
15,Газель (стандарт) ГП 1.5т,4,False
16,Газель (удлиненная),4,False
17,ГП 3т - 4т,4,False
18,ГП 5т - 9т,4,False
19,ГП 10т - 15т,4,False
20,2-х осные (ГАЗ),5,False
21,3-х осные (КАМАЗ),5,False
22,Тягач + ППЦ (3-х осные),5,True
23,Тягач + ППЦ (4-х осные),5,True
24,3 м3 - 4 м3,6,False
25,4 м3 - 7 м3,6,False
26,8 м3 - 12 м3,6,False
27,2-х осные до 3 м3,7,False
28,3-х осные до 5 м3,7,False
29,"3-х, 4-х осные от 5 м3",7,False
30,Микроавтобус (до 13 мест),8,False
31,Городской (ПАЗ),8,False
32,Городской (НЕФАЗ),8,False
33,Туристический,8,False
34,Трактор (Беларус),9,False
35,Погрузчик,9,False
36,Экскаватор,9,False
37,Автокран,10,False
38,Автовышка,10,False
39,Самогруз,10,False
40,Эвакуатор,10,False
41,Тент 13м,11,False
42,Рефрижератор 13м,11,False
43,Тент 16м,11,False
44,Рефрижератор 16м,11,False
45,20фт,12,False
46,40фт,12,False
47,Любой автомобиль,13,False